county,transactions,unmatched,unmatched_pct,house_transactions,house_unmatched,house_unmatched_pct
BRIGHTON AND HOVE,460,104,22.61,232,5,
GREATER LONDON,10924,1607,14.71,4578,68,1.49
CITY OF BRISTOL,764,91,11.91,492,6,1.22
BATH AND NORTH EAST SOMERSET,345,41,11.88,230,2,
SOUTHEND-ON-SEA,313,32,10.22,170,4,
BLACKPOOL,314,30,9.55,261,7,
CORNWALL,1015,86,8.47,814,29,3.56
EAST SUSSEX,1096,90,8.21,783,10,1.28
DEVON,1515,119,7.85,1209,23,1.9
NORTH SOMERSET,439,34,7.74,323,6,1.86
CARDIFF,556,43,7.73,416,5,1.2
YORK,391,29,7.42,301,7,2.33
CITY OF PLYMOUTH,486,35,7.2,374,1,0.27
"BOURNEMOUTH, CHRISTCHURCH AND POOLE",713,50,7.01,440,9,2.05
NORTH EAST LINCOLNSHIRE,407,28,6.88,350,5,1.43
HEREFORDSHIRE,305,20,6.56,255,2,
GLOUCESTERSHIRE,1262,81,6.42,1008,30,2.98
BEDFORD,337,21,6.23,273,14,
EAST RIDING OF YORKSHIRE,756,47,6.22,661,14,2.12
WESTMORLAND AND FURNESS,456,28,6.14,369,6,1.63
KENT,2871,176,6.13,2198,42,1.91
SHROPSHIRE,638,39,6.11,535,9,1.68
SWINDON,418,24,5.74,335,5,1.49
SOMERSET,1053,59,5.6,862,16,1.86
PORTSMOUTH,308,17,5.52,222,1,
LEICESTER,311,17,5.47,246,4,
STOKE-ON-TRENT,410,22,5.37,366,3,0.82
SUFFOLK,1449,77,5.31,1215,27,2.22
NORTH LINCOLNSHIRE,342,18,5.26,295,7,
WEST SUSSEX,1618,85,5.25,1169,11,0.94
NORFOLK,1797,94,5.23,1519,23,1.51
NORTH YORKSHIRE,1244,64,5.14,1024,20,1.95
LINCOLNSHIRE,1621,81,5.0,1418,30,2.12
WORCESTERSHIRE,1117,55,4.92,930,13,1.4
SWANSEA,369,18,4.88,325,4,1.23
SURREY,2030,97,4.78,1421,22,1.55
CITY OF NOTTINGHAM,424,20,4.72,331,1,0.3
LANCASHIRE,2502,118,4.72,2188,42,1.92
CAMBRIDGESHIRE,1128,53,4.7,928,10,1.08
CITY OF KINGSTON UPON HULL,482,22,4.56,392,7,1.79
SOUTHAMPTON,352,16,4.55,217,1,
GREATER MANCHESTER,4608,205,4.45,3552,29,0.82
DORSET,759,33,4.35,572,6,1.05
MERSEYSIDE,2347,101,4.3,1889,18,0.95
CARMARTHENSHIRE,306,13,4.25,273,6,
OXFORDSHIRE,1116,47,4.21,928,14,1.51
CUMBERLAND,570,24,4.21,497,5,1.01
TYNE AND WEAR,2041,86,4.21,1621,34,2.1
WEST YORKSHIRE,3842,155,4.03,3264,28,0.86
WILTSHIRE,942,38,4.03,790,11,1.39
CHESHIRE WEST AND CHESTER,622,25,4.02,533,7,1.31
ESSEX,2690,107,3.98,2104,20,0.95
NOTTINGHAMSHIRE,1712,67,3.91,1514,30,1.98
COUNTY DURHAM,1133,44,3.88,1042,13,1.25
STOCKTON-ON-TEES,442,17,3.85,397,8,2.02
NORTH NORTHAMPTONSHIRE,754,29,3.85,654,7,1.07
MEDWAY,443,17,3.84,333,2,0.6
BUCKINGHAMSHIRE,812,31,3.82,619,6,0.97
SOUTH YORKSHIRE,2283,87,3.81,1963,31,1.58
STAFFORDSHIRE,1593,59,3.7,1395,12,0.86
HAMPSHIRE,2552,94,3.68,2021,17,0.84
NORTHUMBERLAND,789,29,3.68,674,15,2.23
CAERPHILLY,304,11,3.62,283,1,
WEST MIDLANDS,3628,131,3.61,2933,26,0.89
WARWICKSHIRE,1185,42,3.54,975,14,1.44
RHONDDA CYNON TAFF,420,14,3.33,393,1,0.25
CITY OF DERBY,392,13,3.32,348,5,1.44
CENTRAL BEDFORDSHIRE,560,18,3.21,465,5,1.08
MILTON KEYNES,479,15,3.13,380,3,0.79
WREKIN,336,10,2.98,303,4,1.32
DERBYSHIRE,1637,48,2.93,1498,23,1.54
LEICESTERSHIRE,1415,40,2.83,1295,11,0.85
SOUTH GLOUCESTERSHIRE,535,15,2.8,429,2,0.47
CHESHIRE EAST,894,25,2.8,792,7,0.88
HERTFORDSHIRE,1799,50,2.78,1289,9,0.7
WARRINGTON,389,10,2.57,339,4,1.18
WEST NORTHAMPTONSHIRE,853,20,2.34,756,8,1.06
